trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
62,False,"{'e': 0.9138255574772722, 'a': 0.9138255574772722}",25,0,-134.27709724235487,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
63,False,"{'e': 0.9119538130520449, 'a': 0.9119538130520449}",25,0,-110.42878185335849,"{0: 16, 1: 3, 2: 2, 3: 3, 4: 1}",0
64,False,"{'e': 0.9100633511825653, 'a': 0.9100633511825653}",20,0,-65.5428365915571,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
65,False,"{'e': 0.908153984694391, 'a': 0.908153984694391}",20,0,-126.04846745790351,"{0: 9, 1: 5, 2: 3, 3: 2, 4: 1}",0
66,False,"{'e': 0.9062255245413349, 'a': 0.9062255245413349}",35,0,-183.55808517726672,"{0: 22, 1: 4, 2: 5, 3: 1, 4: 3}",0
67,False,"{'e': 0.9042777797867482, 'a': 0.9042777797867482}",20,0,-115.38669216816865,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
68,False,"{'e': 0.9023105575846156, 'a': 0.9023105575846156}",30,0,-180.4108593374874,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
69,False,"{'e': 0.9003236631604618, 'a': 0.9003236631604618}",20,0,-131.58498584139284,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
70,False,"{'e': 0.8983168997920664, 'a': 0.8983168997920664}",25,0,-148.89263867138146,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
71,False,"{'e': 0.8962900687899871, 'a': 0.8962900687899871}",35,0,-220.52758055739002,"{0: 19, 1: 4, 2: 8, 3: 1, 4: 3}",0
72,False,"{'e': 0.894242969477887, 'a': 0.894242969477887}",35,0,-72.17781339287744,"{0: 23, 1: 5, 2: 6, 3: 1, 4: 0}",0
73,False,"{'e': 0.8921753991726659, 'a': 0.8921753991726659}",30,0,-136.16208529152595,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
74,False,"{'e': 0.8900871531643925, 'a': 0.8900871531643925}",30,0,-180.16488366242325,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
75,False,"{'e': 0.8879780246960364, 'a': 0.8879780246960364}",25,0,-139.13042754522857,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
76,False,"{'e': 0.8858478049429968, 'a': 0.8858478049429968}",20,0,-127.0401735696084,"{0: 9, 1: 0, 2: 8, 3: 3, 4: 0}",0
77,False,"{'e': 0.8836962829924268, 'a': 0.8836962829924268}",25,0,-166.84000534846123,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
78,False,"{'e': 0.881523245822351, 'a': 0.881523245822351}",20,0,-126.47016184192293,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
79,False,"{'e': 0.8793284782805745, 'a': 0.8793284782805745}",20,0,-29.599024124359126,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
80,False,"{'e': 0.8771117630633802, 'a': 0.8771117630633802}",20,0,-39.865646820108566,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
81,False,"{'e': 0.874872880694014, 'a': 0.874872880694014}",20,0,-159.2531465659838,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
82,False,"{'e': 0.8726116095009542, 'a': 0.8726116095009542}",25,3,-66.12671846265391,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 0}",1
83,False,"{'e': 0.8703277255959637, 'a': 0.8703277255959637}",25,0,-41.879499985217656,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
84,False,"{'e': 0.8680210028519234, 'a': 0.8680210028519234}",20,1,-10.217223408767527,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 0}",1
85,False,"{'e': 0.8656912128804426, 'a': 0.8656912128804426}",20,0,-12.355498937766777,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
86,False,"{'e': 0.863338125009247, 'a': 0.863338125009247}",30,0,-190.31316952878606,"{0: 18, 1: 0, 2: 9, 3: 0, 4: 3}",0
87,False,"{'e': 0.8609615062593394, 'a': 0.8609615062593394}",30,15,-65.67838107794447,"{0: 8, 1: 2, 2: 3, 3: 2, 4: 0}",1
88,False,"{'e': 0.8585611213219329, 'a': 0.8585611213219329}",25,16,-32.99215819962406,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
89,False,"{'e': 0.8561367325351522, 'a': 0.8561367325351522}",30,0,-146.73219066581547,"{0: 19, 1: 3, 2: 3, 3: 4, 4: 1}",0
90,False,"{'e': 0.8536880998605038, 'a': 0.8536880998605038}",20,0,-86.68471889349188,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
91,False,"{'e': 0.8512149808591087, 'a': 0.8512149808591087}",20,0,-46.673819508357504,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
92,False,"{'e': 0.8487171306676998, 'a': 0.8487171306676998}",20,0,-100.86132796881488,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
93,False,"{'e': 0.8461943019743768, 'a': 0.8461943019743768}",25,0,-149.80378635557977,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
94,False,"{'e': 0.8436462449941206, 'a': 0.8436462449941206}",25,0,-87.98536702227831,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
95,False,"{'e': 0.8410727074440617, 'a': 0.8410727074440617}",25,5,-64.18150537523948,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",1
96,False,"{'e': 0.8384734345185023, 'a': 0.8384734345185023}",25,12,-5.074283360261202,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
97,False,"{'e': 0.8358481688636873, 'a': 0.8358481688636873}",35,0,-189.4839868641051,"{0: 24, 1: 4, 2: 2, 3: 1, 4: 4}",0
98,False,"{'e': 0.8331966505523242, 'a': 0.8331966505523242}",25,0,-143.71628347123973,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
99,False,"{'e': 0.8305186170578474, 'a': 0.8305186170578474}",35,0,-99.77516643188396,"{0: 26, 1: 4, 2: 3, 3: 0, 4: 2}",0
100,False,"{'e': 0.8278138032284258, 'a': 0.8278138032284258}",20,0,-3.4177915164251975,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
101,False,"{'e': 0.82508194126071, 'a': 0.82508194126071}",25,4,-51.44947605058681,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 1}",1
102,False,"{'e': 0.8223227606733171, 'a': 0.8223227606733171}",25,2,-53.14209972899733,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 0}",1
103,False,"{'e': 0.8195359882800503, 'a': 0.8195359882800503}",25,0,-176.09761389222987,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
104,False,"{'e': 0.8167213481628508, 'a': 0.8167213481628508}",35,4,-139.48836185059463,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 3}",1
105,False,"{'e': 0.8138785616444794, 'a': 0.8138785616444794}",20,0,-59.37799249645656,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
106,False,"{'e': 0.8110073472609242, 'a': 0.8110073472609242}",20,0,-149.73590820921177,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
107,False,"{'e': 0.8081074207335334, 'a': 0.8081074207335334}",25,16,-4.5207690907248,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
108,False,"{'e': 0.8051784949408687, 'a': 0.8051784949408687}",30,20,-24.484998190225745,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
109,False,"{'e': 0.8022202798902773, 'a': 0.8022202798902773}",20,0,-110.03327506011098,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
110,False,"{'e': 0.7992324826891801, 'a': 0.7992324826891801}",20,0,-84.87617334043165,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
111,False,"{'e': 0.7962148075160719, 'a': 0.7962148075160719}",25,11,-13.469484510316788,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
